production_day,station_id,station_name,downtime_minutes,downtime_type,Q1,Q3,IQR,lower_bound,upper_bound,severity
2025-11-20,2,HDR-MLD-L01-01,132.13,Breakdown,17.235,43.815,26.58,-62.504999999999995,123.55499999999999,anomaly_high
2025-11-24,6,FRA-PP-L01-03,190.57,Breakdown,17.235,43.815,26.58,-62.504999999999995,123.55499999999999,anomaly_high
2025-11-26,6,FRA-PP-L01-03,146.92,Breakdown,17.235,43.815,26.58,-62.504999999999995,123.55499999999999,anomaly_high
2025-11-27,8,FRA-AOI-L01-01,135.93,Part Shortage,17.235,43.815,26.58,-62.504999999999995,123.55499999999999,anomaly_high
2025-12-17,2,HDR-MLD-L01-01,134.77,Breakdown,17.235,43.815,26.58,-62.504999999999995,123.55499999999999,anomaly_high
2025-12-18,7,FRA-OVE-L01-01,160.57,Breakdown,17.235,43.815,26.58,-62.504999999999995,123.55499999999999,anomaly_high
2026-01-06,10,SFX-PLM-ASSY-01,128.67,Breakdown,17.235,43.815,26.58,-62.504999999999995,123.55499999999999,anomaly_high
2026-01-14,2,HDR-MLD-L01-01,184.67,Part Shortage,17.235,43.815,26.58,-62.504999999999995,123.55499999999999,anomaly_high
2026-01-15,10,SFX-PLM-ASSY-01,152.58,Breakdown,17.235,43.815,26.58,-62.504999999999995,123.55499999999999,anomaly_high
2026-01-16,8,FRA-AOI-L01-01,136.17,Breakdown,17.235,43.815,26.58,-62.504999999999995,123.55499999999999,anomaly_high
2026-01-27,1,SF-SPI-L01-01,145.27,Breakdown,17.235,43.815,26.58,-62.504999999999995,123.55499999999999,anomaly_high
2026-01-27,9,SFX-PLM-PROG-01,125.18,Breakdown,17.235,43.815,26.58,-62.504999999999995,123.55499999999999,anomaly_high
2026-01-29,8,FRA-AOI-L01-01,131.43,Breakdown,17.235,43.815,26.58,-62.504999999999995,123.55499999999999,anomaly_high
2026-01-30,10,SFX-PLM-ASSY-01,125.52,Breakdown,17.235,43.815,26.58,-62.504999999999995,123.55499999999999,anomaly_high
2026-02-02,7,FRA-OVE-L01-01,141.93,Part Shortage,17.235,43.815,26.58,-62.504999999999995,123.55499999999999,anomaly_high
2026-02-04,4,FRA-PP-L01-01,226.6,Part Shortage,17.235,43.815,26.58,-62.504999999999995,123.55499999999999,anomaly_high
2026-02-06,7,FRA-OVE-L01-01,124.57,Part Shortage,17.235,43.815,26.58,-62.504999999999995,123.55499999999999,anomaly_high
2026-02-09,4,FRA-PP-L01-01,148.52,Breakdown,17.235,43.815,26.58,-62.504999999999995,123.55499999999999,anomaly_high
2026-02-16,3,HDR-MLD-L01-02,131.35,Part Shortage,17.235,43.815,26.58,-62.504999999999995,123.55499999999999,anomaly_high
2026-02-17,10,SFX-PLM-ASSY-01,151.67,Breakdown,17.235,43.815,26.58,-62.504999999999995,123.55499999999999,anomaly_high
2026-02-18,3,HDR-MLD-L01-02,132.77,Breakdown,17.235,43.815,26.58,-62.504999999999995,123.55499999999999,anomaly_high
2026-02-23,8,FRA-AOI-L01-01,145.2,Part Shortage,17.235,43.815,26.58,-62.504999999999995,123.55499999999999,anomaly_high
2026-02-25,4,FRA-PP-L01-01,141.23,Breakdown,17.235,43.815,26.58,-62.504999999999995,123.55499999999999,anomaly_high
2026-03-03,3,HDR-MLD-L01-02,150.4,Breakdown,17.235,43.815,26.58,-62.504999999999995,123.55499999999999,anomaly_high
2026-03-10,5,FRA-PP-L01-02,154.35,Part Shortage,17.235,43.815,26.58,-62.504999999999995,123.55499999999999,anomaly_high
2026-03-12,9,SFX-PLM-PROG-01,158.07,Breakdown,17.235,43.815,26.58,-62.504999999999995,123.55499999999999,anomaly_high
2026-03-16,5,FRA-PP-L01-02,128.67,Part Shortage,17.235,43.815,26.58,-62.504999999999995,123.55499999999999,anomaly_high
2026-03-31,4,FRA-PP-L01-01,123.65,Part Shortage,17.235,43.815,26.58,-62.504999999999995,123.55499999999999,anomaly_high
2026-04-03,9,SFX-PLM-PROG-01,178.78,Breakdown,17.235,43.815,26.58,-62.504999999999995,123.55499999999999,anomaly_high
2026-04-10,10,SFX-PLM-ASSY-01,132.58,Part Shortage,17.235,43.815,26.58,-62.504999999999995,123.55499999999999,anomaly_high
2026-04-15,5,FRA-PP-L01-02,186.33,Part Shortage,17.235,43.815,26.58,-62.504999999999995,123.55499999999999,anomaly_high
2026-04-15,9,SFX-PLM-PROG-01,126.15,Breakdown,17.235,43.815,26.58,-62.504999999999995,123.55499999999999,anomaly_high
2026-04-22,2,HDR-MLD-L01-01,136.32,Breakdown,17.235,43.815,26.58,-62.504999999999995,123.55499999999999,anomaly_high
2026-04-30,6,FRA-PP-L01-03,136.3,Part Shortage,17.235,43.815,26.58,-62.504999999999995,123.55499999999999,anomaly_high
2026-05-01,6,FRA-PP-L01-03,125.27,Breakdown,17.235,43.815,26.58,-62.504999999999995,123.55499999999999,anomaly_high
2026-05-05,6,FRA-PP-L01-03,150.25,Breakdown,17.235,43.815,26.58,-62.504999999999995,123.55499999999999,anomaly_high
2026-05-06,6,FRA-PP-L01-03,128.15,Part Shortage,17.235,43.815,26.58,-62.504999999999995,123.55499999999999,anomaly_high
2026-05-07,2,HDR-MLD-L01-01,124.65,Part Shortage,17.235,43.815,26.58,-62.504999999999995,123.55499999999999,anomaly_high
2026-05-11,3,HDR-MLD-L01-02,139.5,Breakdown,17.235,43.815,26.58,-62.504999999999995,123.55499999999999,anomaly_high
