production_day,station_id,station_name,oee_pct,Q1,Q3,IQR,lower_bound,upper_bound,severity
2026-01-16,8,FRA-AOI-L01-01,24.19,55.3875,85.3275,29.939999999999998,25.447500000000005,115.2675,anomaly_low
2025-11-19,4,FRA-PP-L01-01,30.46,55.59,76.555,20.965000000000003,34.625,97.52000000000001,anomaly_low
2025-12-29,4,FRA-PP-L01-01,32.69,55.59,76.555,20.965000000000003,34.625,97.52000000000001,anomaly_low
2026-01-21,4,FRA-PP-L01-01,20.2,55.59,76.555,20.965000000000003,34.625,97.52000000000001,anomaly_low
2026-02-17,5,FRA-PP-L01-02,34.8,57.6925,77.725,20.03249999999999,37.66000000000001,97.7575,anomaly_low
2026-04-01,5,FRA-PP-L01-02,33.73,57.6925,77.725,20.03249999999999,37.66000000000001,97.7575,anomaly_low
2026-02-10,6,FRA-PP-L01-03,27.63,53.7125,78.98249999999999,25.26999999999999,28.44250000000001,104.25249999999997,anomaly_low
2026-01-07,3,HDR-MLD-L01-02,18.91,56.035000000000004,79.685,23.65,32.385000000000005,103.33500000000001,anomaly_low
2026-02-19,3,HDR-MLD-L01-02,31.88,56.035000000000004,79.685,23.65,32.385000000000005,103.33500000000001,anomaly_low
2026-03-12,3,HDR-MLD-L01-02,24.45,56.035000000000004,79.685,23.65,32.385000000000005,103.33500000000001,anomaly_low
2025-12-02,1,SF-SPI-L01-01,26.5,58.0275,85.78,27.752499999999998,30.275000000000006,113.5325,anomaly_low
2026-03-13,1,SF-SPI-L01-01,22.36,58.0275,85.78,27.752499999999998,30.275000000000006,113.5325,anomaly_low
2026-04-21,1,SF-SPI-L01-01,29.49,58.0275,85.78,27.752499999999998,30.275000000000006,113.5325,anomaly_low
2026-02-13,10,SFX-PLM-ASSY-01,25.47,54.04,80.845,26.805,27.235,107.65,anomaly_low
2026-03-30,10,SFX-PLM-ASSY-01,19.67,54.04,80.845,26.805,27.235,107.65,anomaly_low
2026-02-25,9,SFX-PLM-PROG-01,24.41,53.667500000000004,76.18,22.512500000000003,31.155,98.69250000000001,anomaly_low
